client_id,transaction_id,transaction_date,transaction_type,account_number,currency,amount
781,5183,2024-10-21 08:41:41.157537,transfer_funds,GB92ULOV69247806119567,RUB,376251.48
781,9592,2024-10-16 10:31:12.157537,pay_bill,GB13SZJQ44346248221878,USD,8057.03
212,4698,2024-06-29 15:06:18.157537,pay_bill,GB40LOPQ18907406970553,USD,3304.48
212,6747,2024-09-15 02:48:47.157537,pay_bill,GB96CUOT46298615855679,USD,2443.73
212,9618,2024-05-01 02:55:56.157537,transfer_funds,GB44COCG61272483451582,USD,8286.06
212,5138,2024-04-09 11:03:45.157537,transfer_funds,GB76THDB80116684729169,RUB,316697.76
212,5515,2024-06-15 23:38:20.157537,transfer_funds,GB95IKDH47028707855383,RUB,237349.59
212,9213,2024-02-12 15:31:52.157537,pay_bill,GB27YFUU71404051093315,RUB,768550.9
212,3487,2024-08-23 13:40:29.157537,transfer_funds,GB73WOQU64817704444295,USD,370.75
212,7097,2024-10-10 15:00:12.157537,pay_bill,GB89WRKZ41297842849570,RUB,245259.85
212,2292,2024-09-16 12:30:42.157537,pay_bill,GB68CWPP28030530062586,RUB,97543.34
